,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.00139923095703125,0.000489628932452029,0.0007994651794433593,0.0003997327461456244,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
1,0.00099945068359375,0.0006322589389451129,0.0003998279571533203,0.0004896872457665585,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
2,0.0005997180938720703,0.0004896678041232201,0.0003996372222900391,0.0004894536906783155,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
37,0.0007994651794433593,0.0003997327461456244,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
40,0.001402425765991211,0.0004904435659870205,0.001196002960205078,0.00146954151951882,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
15,0.0003996849060058594,0.0004895122478239711,0.00039973258972167967,0.0004895704914386467,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
13,0.0005997657775878906,0.0004897067377116922,0.00019998550415039061,0.00039997100830078123,1,,linear,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.975,0.03333333333333334,1
20,0.00039992332458496096,0.0004898040465379741,0.0005996227264404297,0.0004895902852585749,100,,rbf,0.01,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9666666666666666,0.031180478223116186,8
19,0.00019998550415039061,0.0003999710083007812,0.0005995750427246094,0.0004895509801351308,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9666666666666666,0.031180478223116186,8
17,0.0009992122650146484,3.9895058943465975e-07,0.0,0.0,10,,linear,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9666666666666666,0.031180478223116186,8
